Date,Return
10/31/2025,0.0088
10/30/2025,0.0053
10/29/2025,0.0044
10/27/2025,-0.0005
10/24/2025,0.0074
10/23/2025,-0.0031
10/22/2025,0.0012
10/21/2025,-0.0006
10/20/2025,0.0008
10/17/2025,-0.016
10/16/2025,-0.0017000000000000001
10/15/2025,-0.0006
10/14/2025,0.0034000000000000002
10/13/2025,0.0045000000000000005
10/10/2025,0.0016
10/09/2025,0.0014000000000000002
10/08/2025,-0.0002
10/07/2025,-0.008199999999999999
10/06/2025,0.004
10/03/2025,0.004
10/02/2025,0.0033
10/01/2025,0.0092
09/30/2025,-0.0026
09/29/2025,0.0025
09/26/2025,0.0116
09/25/2025,-0.0032
09/24/2025,0.0017000000000000001
09/23/2025,0.0017000000000000001
09/22/2025,0.0042
09/19/2025,0.0046
09/18/2025,0.0037
09/17/2025,-0.0016
09/16/2025,-0.0063
09/15/2025,0.0001
09/12/2025,-0.0004
09/11/2025,0.0014000000000000002
09/10/2025,0.0042
09/09/2025,-0.0016
09/08/2025,0.0001
09/05/2025,0.004
09/04/2025,0.0069
09/03/2025,0.0003
09/02/2025,-0.0055000000000000005
09/01/2025,0.0016
08/29/2025,-0.0063
08/28/2025,-0.0019
08/27/2025,-0.0005
08/26/2025,-0.004
08/25/2025,-0.0011
08/22/2025,-0.0044
08/21/2025,-0.0002
08/20/2025,-0.0031
08/19/2025,0.0006
08/18/2025,-0.0026
08/15/2025,0.008199999999999999
08/14/2025,0.0019
08/13/2025,0.002
08/12/2025,0.0031
08/11/2025,0.0009
08/08/2025,-0.0009
08/07/2025,0.0083
08/06/2025,0.005699999999999999
08/05/2025,0.0059
08/04/2025,0.0121
08/01/2025,-0.0118
07/31/2025,-0.0026
07/30/2025,0.0076
07/29/2025,0.0045000000000000005
07/28/2025,0.0051
07/25/2025,0.0031
07/24/2025,0.0046
07/23/2025,0.0085
07/22/2025,-0.0066
07/21/2025,0.0
07/18/2025,0.001
07/17/2025,0.0077
07/16/2025,-0.0021
07/15/2025,0.0008
07/14/2025,0.0014000000000000002
07/11/2025,-0.006
07/10/2025,0.0067
07/09/2025,0.0038
07/08/2025,0.003
07/07/2025,0.0007000000000000001
07/04/2025,-0.0062
07/03/2025,0.0053
07/02/2025,0.0012
07/01/2025,-0.0028000000000000004
06/30/2025,0.0103
06/27/2025,0.0025
06/26/2025,-0.0048
06/25/2025,-0.0011
06/24/2025,0.0075
06/23/2025,-0.0064
06/20/2025,0.0042
06/19/2025,-0.0008
06/18/2025,-0.005699999999999999
06/17/2025,-0.001
06/16/2025,-0.0001
06/13/2025,-0.0002
06/12/2025,-0.0019
06/11/2025,-0.0034999999999999996
06/10/2025,-0.0038
06/09/2025,-0.0008
06/06/2025,0.0060999999999999995
06/05/2025,-0.0014000000000000002
06/04/2025,-0.0029
06/03/2025,0.0015
06/02/2025,0.0066
05/30/2025,-0.0046
05/29/2025,-0.0037
05/28/2025,-0.0022
05/27/2025,0.0052
05/26/2025,-0.0037
05/23/2025,-0.0040999999999999995
05/22/2025,-0.0072
05/21/2025,0.0032
05/20/2025,0.0027
05/19/2025,-0.0051
05/16/2025,0.0042
05/15/2025,0.0021
05/14/2025,0.0058
05/13/2025,-0.0015
05/12/2025,0.0104
05/09/2025,0.020099999999999996
05/07/2025,0.0199
05/06/2025,0.0028000000000000004
05/05/2025,-0.0015
05/02/2025,0.020099999999999996
04/30/2025,-0.0134
04/29/2025,-0.0054
04/28/2025,-0.0116
04/25/2025,0.0033
04/24/2025,0.0008
04/23/2025,0.0132
04/22/2025,-0.0015
04/17/2025,0.0036
04/16/2025,-0.0025
04/15/2025,0.0111
04/14/2025,0.0194
04/11/2025,-0.008100000000000001
04/10/2025,0.0354
04/09/2025,-0.020099999999999996
04/08/2025,0.037599999999999995
04/07/2025,-0.025099999999999997
04/04/2025,-0.053200000000000004
04/03/2025,-0.019799999999999998
04/02/2025,-0.0058
04/01/2025,0.0040999999999999995
03/31/2025,-0.006
03/28/2025,-0.012199999999999999
03/27/2025,0.0037
03/26/2025,0.0101
03/25/2025,-0.0015
03/24/2025,0.0191
03/21/2025,-0.0012
03/20/2025,-0.0052
03/19/2025,0.0025
03/18/2025,0.0026
03/17/2025,0.0060999999999999995
03/14/2025,0.0199
03/13/2025,0.0085
03/12/2025,0.004
03/11/2025,-0.0008
03/10/2025,-0.013300000000000001
03/07/2025,0.0063
03/06/2025,0.0184
03/05/2025,0.0181
03/04/2025,-0.0229
03/03/2025,0.009399999999999999
02/28/2025,-0.0175
02/27/2025,0.001
02/26/2025,0.0096
02/25/2025,0.0062
02/24/2025,-0.004699999999999999
02/21/2025,-0.006
02/20/2025,-0.003
02/19/2025,0.0009
02/18/2025,0.0054
02/17/2025,0.0096
02/14/2025,-0.0025
02/13/2025,0.0084
02/12/2025,0.011200000000000002
02/11/2025,0.0111
02/10/2025,0.0014000000000000002
02/07/2025,0.0068000000000000005
02/06/2025,0.0252
02/05/2025,-0.0043
02/04/2025,0.0146
02/03/2025,-0.0177
01/31/2025,-0.0068000000000000005
01/30/2025,0.0016
01/29/2025,0.0069
01/28/2025,-0.0023
01/27/2025,-0.006999999999999999
01/24/2025,0.0087
01/23/2025,0.0036
01/22/2025,0.0008
01/21/2025,0.0008
01/20/2025,0.011399999999999999
01/17/2025,0.0149
01/16/2025,0.0033
01/15/2025,0.0018
01/14/2025,0.004699999999999999
01/13/2025,-0.0045000000000000005
01/10/2025,0.0018
01/09/2025,0.008
01/08/2025,-0.001
01/07/2025,0.0060999999999999995
01/06/2025,-0.002
01/03/2025,0.0089
01/02/2025,0.0019
12/30/2024,-0.0005
12/27/2024,-0.0004
12/23/2024,0.0040999999999999995
12/20/2024,-0.0044
12/19/2024,0.0046
12/18/2024,0.0027
12/17/2024,-0.0017000000000000001
12/16/2024,0.0017000000000000001
12/13/2024,0.006
12/12/2024,0.0096
12/11/2024,0.0002
12/10/2024,0.0046
12/09/2024,0.0004
12/06/2024,0.0027
12/05/2024,0.0046
12/04/2024,-0.0039000000000000003
12/03/2024,0.0017000000000000001
12/02/2024,0.0134
11/29/2024,-0.0033
11/28/2024,-0.0007000000000000001
11/27/2024,-0.0034999999999999996
11/26/2024,0.0091
11/25/2024,-0.0105
11/22/2024,0.0037
11/21/2024,0.0017000000000000001
11/20/2024,0.0063
11/19/2024,0.001
11/18/2024,-0.0001
11/15/2024,0.0042
11/14/2024,0.005699999999999999
11/13/2024,-0.0051
11/12/2024,-0.001
11/11/2024,0.003
11/08/2024,-0.0046
11/07/2024,0.0044
11/06/2024,-0.0006
11/05/2024,0.0078000000000000005
11/04/2024,0.0032
11/01/2024,0.005600000000000001
10/31/2024,-0.0007000000000000001
10/30/2024,-0.0018
10/29/2024,-0.0027
10/25/2024,0.0
10/24/2024,0.0048
10/23/2024,0.0052
10/22/2024,0.0023
10/21/2024,0.0001
10/18/2024,0.0089
10/17/2024,0.0003
10/16/2024,0.0025
10/15/2024,0.0053
10/14/2024,0.0039000000000000003
10/11/2024,0.0028000000000000004
10/10/2024,0.0017000000000000001
10/09/2024,-0.004
10/08/2024,-0.0003
10/07/2024,0.0013
10/04/2024,0.0009
10/03/2024,-0.004
10/02/2024,-0.0049
10/01/2024,-0.0040999999999999995
09/30/2024,0.0008
09/27/2024,0.003
09/26/2024,0.0095
09/25/2024,0.0046
09/24/2024,0.0011
09/23/2024,-0.004
09/20/2024,0.0021
09/19/2024,0.0103
09/18/2024,-0.0040999999999999995
09/17/2024,-0.0014000000000000002
09/16/2024,-0.0025
09/13/2024,0.0018
09/12/2024,0.0079
09/11/2024,-0.0103
09/10/2024,-0.0045000000000000005
09/09/2024,-0.002
09/06/2024,-0.0016
09/05/2024,0.0012
09/04/2024,0.0007000000000000001
09/03/2024,-0.0097
09/02/2024,0.0078000000000000005
08/30/2024,0.0073
08/29/2024,0.0059
08/28/2024,-0.0072
08/27/2024,-0.0004
08/26/2024,0.0043
08/23/2024,-0.0014000000000000002
08/22/2024,-0.0033
08/21/2024,0.0024
08/20/2024,0.0004
08/19/2024,0.0049
08/16/2024,0.0014000000000000002
08/15/2024,0.0066
08/14/2024,0.0026
08/13/2024,-0.0003
08/12/2024,0.0023
08/09/2024,0.0007000000000000001
08/08/2024,-0.0009
08/07/2024,0.016
08/06/2024,0.0181
08/05/2024,-0.0417
08/02/2024,-0.0151
08/01/2024,-0.011000000000000001
07/31/2024,0.0075
07/30/2024,0.0002
07/29/2024,0.0004
07/26/2024,-0.0016
07/25/2024,-0.0087
07/24/2024,-0.0024
07/23/2024,0.0019
07/22/2024,0.0013
07/19/2024,0.0004
07/18/2024,0.0077
07/17/2024,0.0026
07/16/2024,-0.0026
07/15/2024,0.0062
07/12/2024,0.0023
07/11/2024,0.0040999999999999995
07/10/2024,0.0064
07/09/2024,-0.0034000000000000002
07/08/2024,0.0022
07/04/2024,0.0032
07/03/2024,0.0048
07/02/2024,0.0026
07/01/2024,0.0063
06/28/2024,0.0138
06/27/2024,-0.0098
06/26/2024,-0.0004
06/25/2024,0.0026
06/24/2024,0.0033
06/21/2024,-0.0042
06/20/2024,0.0024
06/19/2024,0.0040999999999999995
06/18/2024,0.0040999999999999995
06/17/2024,0.0034000000000000002
06/14/2024,-0.009399999999999999
06/13/2024,-0.004699999999999999
06/12/2024,0.0053
06/11/2024,-0.008100000000000001
06/10/2024,-0.0026
06/07/2024,-0.0033
06/06/2024,0.011699999999999999
06/05/2024,-0.0023
06/04/2024,-0.0097
06/03/2024,-0.0008
05/31/2024,0.0089
05/30/2024,0.0002
05/29/2024,-0.0023
05/28/2024,-0.0031
05/27/2024,-0.0092
05/24/2024,-0.005699999999999999
05/23/2024,-0.0019
05/22/2024,0.0046
05/21/2024,-0.0004
05/20/2024,0.004
05/17/2024,0.003
